Carlos Manuel BENCOMO MENDOZA,1761
Bendt BENDTSEN,96705
Adrian-Dragoş BENEA,197658
Miroslav BENEŠ,23690
Gérard BENHAMOU,1820
Brando BENIFEI,124867
Xabier BENITO ZILUAGA,135490
Isabel BENJUMEA BENJUMEA,197679
Jean-Luc BENNAHMIAS,28214
Francisca BENNASAR TOUS,2003
Phil BENNION,112014
Jean-Paul BENOIT,1210
Monika BEŇOVÁ,23868
Hildegard BENTELE,197408
Rolf BEREND,1842
Tom BERENDSEN,197778
Luis BERENGUER FUSTER,4333
Pervenche BERÈS,1985
Lars Patrick BERG,197478
Eiki BERG,23859
Margrietus van den BERG,4480
María Luisa BERGAZ CONESA,25340
Maria BERGER,2285
Joëlle BERGERON,124740
Stefan BERGER,197410
Erik BERGKVIST,197396
Cornelis BERKHOUWER,926
Sergio BERLATO,4746
Enrico BERLINGUER,931
Luigi BERLINGUER,97156
Giovanni BERLINGUER,28369
Silvio BERLUSCONI,4391
Thijs BERMAN,28174
Pierre BERNARD,932
Pierre BERNARD-REYMOND,1036
Antoine-François BERNARDINI,1986
Alexander BERNHUBER,197648
Jean-Louis BERNIÉ,4416
Nora BERRA,96947
Giovanni BERSANI,1781
Pier Luigi BERSANI,28329
Jan Willem BERTENS,1281
Georges BERTHU,2217
Fausto BERTINOTTI,2023
Fabrizio BERTOT,118709
Jean BESSE,1821
Jean-Paul BESSET,96699
The Lord Nicholas BETHELL,1422
Virginio BETTINI,959
Goffredo Maria BETTINI,124819
Vincenzo BETTIZA,977
Bouke BEUMER,1451
Luc Ch.H. BEYER DE RYKE,1780
Ward BEYSEN,4752
Gerardo BIANCO,2143
Jean-Jacob BICEP,113891
Robert BIEDROŃ,197498
Adam BIELA,24091
Adam BIELAN,23788
Roberto Felice BIGLIARDO,4468
Stéphane BIJOUX,197551
Izaskun BILBAO BARANDICA,96922
Vladimír BILČÍK,197771
Dominique BILDE,124771
Angela Theodora BILLINGHAM,2172
Rosaria BINDI,1115
Slavi BINEV,38610
John A.W. BIRD,1423
Šarūnas BIRUTIS,28216
Gabriele BISCHOFF,197435
Lothar BISKY,96650
Philipp von BISMARCK,1778
Benoît BITEAU,197512
Mara BIZZOTTO,97198
Birgit BJØRNVIG,1242
Malin BJÖRK,124992
Leonie G.L. van BLADEL,1949
Vasile BLAGA,197637
Freddy BLAK,1274
José BLANCO LÓPEZ,125044
Neil BLANEY,1019
Hynek BLAŠKO,197564
Vilija BLINKEVIČIŪTĖ,96681
Georgi BLIZNASHKI,34230
Undine-Uta BLOCH von BLOTTNITZ,1815
Johannes BLOKLAND,1969
Godfrey BLOOM,28513
Michael BLOSS,197449
Yvan M. BLOT,1211
Roland BLUM,1766
Erik Bernhard BLUMENFELD,1776
Kazys Jaunutis BOBELIS,23748
Jana BOBOŠÍKOVÁ,28359
Gisèle BOCHENEK-FORRAY,1707
Reinhold L. BOCKLET,1272
Andrea BOCSKOR,124712
Fernand BODEN,929
Guido BODRATO,4399
Sebastian Valentin BODU,39722
Jørgen BØGH,1779
Damian BOESELAGER,197439
Alfons BOESMANS,1819
Christian Ulrik von BOETTICHER,4288
